order_id,order_date,warehouse_id,warehouse_city,warehouse_state,warehouse_region,product_category,unit_price,quantity,order_value,product_weight_kg,total_weight_kg,shipping_method,expected_delivery_date,actual_delivery_date,carrier,order_status,delivery_delay_days,shipping_cost,customer_satisfaction,inventory_level,reorder_point,stock_status,supplier,supplier_rating,lead_time_days,return_reason,distance_km,route_optimization_score,warehouse_lat,warehouse_lon
ORD-001134,2026-03-24,FC-CHI-03,Chicago,IL,Midwest,Home & Kitchen,284.03,3,852.09,9.08,27.24,Standard (3-5 days),2026-03-29,2026-03-29,OnTrac,Delivered,0.0,80.83,5.0,77,45,In Stock,Supplier-B,3.1,4,,1174.4,0.92,41.87,-87.62
ORD-001135,2025-08-28,FC-ATL-07,Atlanta,GA,Southeast,Toys,104.91,5,524.55,1.98,9.9,Same-Day,2025-08-28,,Amazon Logistics,In Transit,,21.79,,466,42,In Stock,Supplier-B,4.4,11,,598.7,0.81,33.75,-84.38
ORD-001136,2025-12-28,FC-CHI-03,Chicago,IL,Midwest,Clothing,62.6,4,250.4,0.3,1.2,Two-Day,2025-12-30,2026-01-02,Amazon Logistics,Delivered,3.0,5.97,2.0,208,42,In Stock,Supplier-B,4.7,15,,1850.3,0.84,41.87,-87.62
ORD-001137,2025-09-20,FC-CHI-03,Chicago,IL,Midwest,Grocery,66.27,5,331.35,4.93,24.65,Standard (3-5 days),2025-09-25,,Amazon Logistics,Out for Delivery,,63.11,,442,71,In Stock,Supplier-E,3.8,18,,1380.3,0.67,41.87,-87.62
ORD-001138,2026-04-17,FC-ATL-07,Atlanta,GA,Southeast,Electronics,726.77,3,2180.31,4.76,14.28,Same-Day,2026-04-17,2026-04-19,Amazon Logistics,Delivered,2.0,39.73,1.0,416,51,In Stock,Supplier-A,3.3,19,,2250.8,0.99,33.75,-84.38
ORD-001139,2026-03-02,FC-LAX-02,Los Angeles,CA,West,Clothing,79.89,2,159.78,1.51,3.02,Two-Day,2026-03-04,2026-03-03,USPS,Delivered,-1.0,11.43,4.0,476,71,In Stock,Supplier-B,4.6,5,,2871.9,0.72,34.05,-118.24
ORD-001140,2025-08-23,FC-DFW-04,Dallas,TX,South,Electronics,99.05,3,297.15,3.21,9.63,Two-Day,2025-08-25,2025-08-25,Amazon Logistics,Delivered,0.0,27.69,5.0,77,89,Low Stock,Supplier-D,2.8,21,,1858.0,0.77,32.77,-96.79
ORD-001141,2025-07-20,FC-SEA-06,Seattle,WA,West,Sports & Outdoors,114.94,3,344.82,2.62,7.86,One-Day,2025-07-21,2025-07-21,Amazon Logistics,Delivered,0.0,21.42,5.0,265,43,In Stock,Supplier-B,3.3,10,,141.4,0.97,47.6,-122.33
ORD-001142,2025-11-03,FC-ATL-07,Atlanta,GA,Southeast,Sports & Outdoors,23.24,5,116.2,4.78,23.9,Economy (5-8 days),2025-11-10,,UPS,In Transit,,31.54,,480,92,In Stock,Supplier-E,4.8,4,,1964.7,0.94,33.75,-84.38
ORD-001143,2026-01-13,FC-ATL-07,Atlanta,GA,Southeast,Automotive,90.28,2,180.56,1.49,2.98,Standard (3-5 days),2026-01-16,2026-01-18,FedEx,Delivered,2.0,8.09,2.0,51,87,Low Stock,Supplier-D,3.9,18,,501.2,0.91,33.75,-84.38
ORD-001144,2025-12-06,FC-MIA-05,Miami,FL,Southeast,Electronics,407.65,3,1222.95,4.86,14.58,One-Day,2025-12-07,,Amazon Logistics,Out for Delivery,,25.95,,493,29,In Stock,Supplier-B,3.7,13,,2558.7,0.64,25.76,-80.19
ORD-001145,2026-03-01,FC-NYC-01,New York,NY,Northeast,Office Products,66.87,4,267.48,4.87,19.48,Two-Day,2026-03-03,2026-03-06,Amazon Logistics,Delayed,3.0,30.17,,44,93,Low Stock,Supplier-B,4.9,7,,2100.3,0.93,40.71,-74.0
ORD-001146,2025-10-29,FC-LAX-02,Los Angeles,CA,West,Grocery,30.23,2,60.46,6.15,12.3,Two-Day,2025-10-31,2025-11-01,UPS,Delivered,1.0,34.64,3.0,158,55,In Stock,Supplier-D,3.2,3,,2350.2,0.8,34.05,-118.24
ORD-001147,2025-06-16,FC-NYC-01,New York,NY,Northeast,Office Products,159.81,5,799.05,2.15,10.75,Two-Day,2025-06-18,2025-06-21,Amazon Logistics,Delivered,3.0,12.93,1.0,211,61,In Stock,Supplier-A,4.4,5,,2370.0,0.85,40.71,-74.0
ORD-001148,2025-11-06,FC-SEA-06,Seattle,WA,West,Home & Kitchen,12.99,4,51.96,0.58,2.32,Standard (3-5 days),2025-11-11,,USPS,In Transit,,5.1,,180,69,In Stock,Supplier-B,4.9,4,,1834.8,0.63,47.6,-122.33
ORD-001149,2025-11-14,FC-SEA-06,Seattle,WA,West,Automotive,20.65,1,20.65,2.27,2.27,Standard (3-5 days),2025-11-19,,FedEx,Pending,,6.17,,427,77,In Stock,Supplier-C,3.2,15,,2023.8,0.7,47.6,-122.33
ORD-001150,2026-04-11,FC-LAX-02,Los Angeles,CA,West,Sports & Outdoors,108.27,1,108.27,1.17,1.17,Standard (3-5 days),2026-04-15,2026-04-15,Amazon Logistics,Delivered,0.0,5.6,5.0,159,60,In Stock,Supplier-C,2.8,11,,2954.9,1.0,34.05,-118.24
ORD-001151,2026-04-07,FC-DFW-04,Dallas,TX,South,Grocery,58.49,5,292.45,8.05,40.25,Same-Day,2026-04-07,,Amazon Logistics,In Transit,,89.47,,201,40,In Stock,Supplier-A,3.1,14,,2750.2,0.82,32.77,-96.79
ORD-001152,2026-05-18,FC-ATL-07,Atlanta,GA,Southeast,Toys,62.23,1,62.23,4.15,4.15,Standard (3-5 days),2026-05-23,2026-05-23,Amazon Logistics,Delivered,0.0,9.35,3.0,195,56,In Stock,Supplier-D,4.3,9,,2607.5,0.89,33.75,-84.38
ORD-001153,2026-02-20,FC-SEA-06,Seattle,WA,West,Sports & Outdoors,125.13,2,250.26,9.32,18.64,One-Day,2026-02-21,,Amazon Logistics,Cancelled,,39.53,,259,26,In Stock,Supplier-D,3.7,19,,2173.5,0.84,47.6,-122.33
ORD-001154,2025-08-30,FC-DEN-08,Denver,CO,West,Electronics,746.22,5,3731.1,0.53,2.65,One-Day,2025-08-31,,UPS,In Transit,,7.97,,370,100,In Stock,Supplier-C,4.7,5,,321.0,0.87,39.73,-104.99
ORD-001155,2026-01-29,FC-CHI-03,Chicago,IL,Midwest,Sports & Outdoors,110.11,4,440.44,1.23,4.92,Same-Day,2026-01-29,,Amazon Logistics,In Transit,,12.85,,175,40,In Stock,Supplier-D,3.1,6,,378.7,0.86,41.87,-87.62
ORD-001156,2026-03-17,FC-NYC-01,New York,NY,Northeast,Toys,175.47,4,701.88,4.11,16.44,Standard (3-5 days),2026-03-22,2026-03-22,Amazon Logistics,Delivered,0.0,34.06,5.0,244,54,In Stock,Supplier-C,4.3,12,,1466.7,0.88,40.71,-74.0
ORD-001157,2026-02-17,FC-NYC-01,New York,NY,Northeast,Automotive,213.66,2,427.32,4.99,9.98,Standard (3-5 days),2026-02-20,2026-02-20,UPS,Delivered,0.0,13.58,4.0,173,51,In Stock,Supplier-E,3.2,18,,2421.5,1.0,40.71,-74.0
ORD-001158,2025-12-08,FC-CHI-03,Chicago,IL,Midwest,Sports & Outdoors,48.13,2,96.26,9.93,19.86,Two-Day,2025-12-10,2025-12-13,USPS,Delivered,3.0,27.15,2.0,378,88,In Stock,Supplier-C,2.5,14,,1484.2,0.82,41.87,-87.62
ORD-001159,2025-12-02,FC-DEN-08,Denver,CO,West,Electronics,482.57,2,965.14,1.45,2.9,Standard (3-5 days),2025-12-07,2025-12-07,Amazon Logistics,Returned,0.0,6.68,,202,70,In Stock,Supplier-B,3.6,3,Not as Described,431.3,0.81,39.73,-104.99
ORD-001160,2026-03-24,FC-LAX-02,Los Angeles,CA,West,Sports & Outdoors,129.2,3,387.6,4.28,12.84,Standard (3-5 days),2026-03-29,2026-03-28,Amazon Logistics,Delivered,-1.0,17.92,5.0,412,50,In Stock,Supplier-A,2.9,7,,118.8,0.7,34.05,-118.24
ORD-001161,2026-03-20,FC-CHI-03,Chicago,IL,Midwest,Books,58.55,4,234.2,2.29,9.16,Standard (3-5 days),2026-03-25,2026-03-27,FedEx,Delivered,2.0,22.03,1.0,496,70,In Stock,Supplier-A,2.6,20,,1319.6,0.65,41.87,-87.62
ORD-001162,2025-12-25,FC-DEN-08,Denver,CO,West,Health & Personal Care,99.72,4,398.88,6.12,24.48,Standard (3-5 days),2025-12-30,2025-12-30,Amazon Logistics,Delivered,0.0,73.53,5.0,146,91,In Stock,Supplier-E,3.2,12,,2780.9,0.69,39.73,-104.99
ORD-001163,2026-02-03,FC-LAX-02,Los Angeles,CA,West,Home & Kitchen,382.47,5,1912.35,12.44,62.2,Same-Day,2026-02-03,,Amazon Logistics,Out for Delivery,,137.74,,178,100,In Stock,Supplier-C,3.8,12,,2664.6,0.94,34.05,-118.24
ORD-001164,2025-11-26,FC-SEA-06,Seattle,WA,West,Sports & Outdoors,10.45,4,41.8,8.23,32.92,Two-Day,2025-11-28,2025-11-28,Amazon Logistics,Delivered,0.0,55.25,5.0,6,50,Low Stock,Supplier-D,2.8,16,,2529.1,0.72,47.6,-122.33
ORD-001165,2025-09-19,FC-ATL-07,Atlanta,GA,Southeast,Electronics,75.6,4,302.4,3.22,12.88,Same-Day,2025-09-19,,Amazon Logistics,Out for Delivery,,38.56,,207,22,In Stock,Supplier-B,3.0,5,,1129.6,0.75,33.75,-84.38
ORD-001166,2026-06-07,FC-LAX-02,Los Angeles,CA,West,Health & Personal Care,27.26,2,54.52,2.65,5.3,Standard (3-5 days),2026-06-10,,Amazon Logistics,Out for Delivery,,17.87,,216,83,In Stock,Supplier-A,3.3,4,,1073.2,0.78,34.05,-118.24
ORD-001167,2025-10-15,FC-NYC-01,New York,NY,Northeast,Health & Personal Care,209.11,2,418.22,6.08,12.16,One-Day,2025-10-16,,Amazon Logistics,In Transit,,21.8,,290,53,In Stock,Supplier-A,4.3,11,,2209.2,0.75,40.71,-74.0
ORD-001168,2026-04-03,FC-LAX-02,Los Angeles,CA,West,Health & Personal Care,121.31,4,485.24,1.23,4.92,Two-Day,2026-04-05,2026-04-05,Amazon Logistics,Returned,0.0,13.68,,268,93,In Stock,Supplier-E,3.5,12,Late Delivery,1243.6,0.69,34.05,-118.24
ORD-001169,2025-12-28,FC-SEA-06,Seattle,WA,West,Sports & Outdoors,117.03,1,117.03,4.62,4.62,Standard (3-5 days),2025-12-31,2025-12-31,FedEx,Delivered,0.0,12.21,5.0,488,20,In Stock,Supplier-C,4.2,4,,2327.4,0.99,47.6,-122.33
ORD-001170,2025-10-12,FC-DEN-08,Denver,CO,West,Office Products,131.49,1,131.49,1.3,1.3,Two-Day,2025-10-14,2025-10-14,FedEx,Delivered,0.0,3.82,5.0,250,50,In Stock,Supplier-B,3.0,7,,2086.1,0.84,39.73,-104.99
ORD-001171,2026-01-11,FC-DEN-08,Denver,CO,West,Books,10.33,2,20.66,1.93,3.86,Two-Day,2026-01-13,2026-01-13,Amazon Logistics,Delivered,0.0,7.26,5.0,83,70,In Stock,Supplier-D,3.4,21,,1975.6,0.7,39.73,-104.99
ORD-001172,2025-07-07,FC-DEN-08,Denver,CO,West,Office Products,112.88,2,225.76,0.89,1.78,Two-Day,2025-07-09,2025-07-09,Amazon Logistics,Delivered,0.0,4.72,5.0,351,43,In Stock,Supplier-A,3.9,11,,2081.8,0.6,39.73,-104.99
ORD-001173,2025-11-24,FC-ATL-07,Atlanta,GA,Southeast,Grocery,67.85,2,135.7,9.42,18.84,Two-Day,2025-11-26,2025-11-26,Amazon Logistics,Delivered,0.0,45.95,4.0,268,39,In Stock,Supplier-E,2.5,18,,1027.6,0.73,33.75,-84.38
ORD-001174,2026-02-12,FC-LAX-02,Los Angeles,CA,West,Health & Personal Care,114.96,3,344.88,6.82,20.46,Two-Day,2026-02-14,2026-02-14,Amazon Logistics,Returned,0.0,45.87,,311,99,In Stock,Supplier-A,3.0,10,Defective,61.2,0.93,34.05,-118.24
ORD-001175,2026-06-11,FC-MIA-05,Miami,FL,Southeast,Books,5.76,2,11.52,1.57,3.14,Economy (5-8 days),2026-06-19,,OnTrac,Out for Delivery,,6.48,,65,83,Low Stock,Supplier-D,3.7,9,,651.1,0.63,25.76,-80.19
ORD-001176,2025-12-27,FC-NYC-01,New York,NY,Northeast,Sports & Outdoors,274.85,4,1099.4,6.4,25.6,Standard (3-5 days),2026-01-01,,Amazon Logistics,Pending,,27.26,,285,66,In Stock,Supplier-A,3.1,4,,1038.4,0.73,40.71,-74.0
ORD-001177,2025-12-29,FC-MIA-05,Miami,FL,Southeast,Clothing,132.07,3,396.21,1.26,3.78,Same-Day,2025-12-29,,Amazon Logistics,Pending,,8.42,,27,36,Low Stock,Supplier-D,3.2,16,,1446.1,0.9,25.76,-80.19
ORD-001178,2026-05-20,FC-CHI-03,Chicago,IL,Midwest,Sports & Outdoors,44.96,4,179.84,7.27,29.08,Two-Day,2026-05-22,2026-05-22,FedEx,Delivered,0.0,80.41,5.0,207,44,In Stock,Supplier-E,4.2,14,,1921.2,0.92,41.87,-87.62
ORD-001179,2026-05-14,FC-ATL-07,Atlanta,GA,Southeast,Toys,17.96,4,71.84,7.23,28.92,Standard (3-5 days),2026-05-18,,Amazon Logistics,In Transit,,68.36,,106,33,In Stock,Supplier-E,4.8,21,,2112.0,0.83,33.75,-84.38
ORD-001180,2025-08-31,FC-DEN-08,Denver,CO,West,Grocery,16.79,5,83.95,5.39,26.95,Standard (3-5 days),2025-09-05,2025-09-05,Amazon Logistics,Returned,0.0,30.26,,378,99,In Stock,Supplier-C,4.5,3,Late Delivery,1811.8,0.92,39.73,-104.99
ORD-001181,2026-02-23,FC-DFW-04,Dallas,TX,South,Clothing,67.93,4,271.72,0.12,0.48,Standard (3-5 days),2026-02-27,2026-02-27,Amazon Logistics,Delivered,0.0,3.54,3.0,51,36,In Stock,Supplier-A,2.9,20,,1777.9,0.97,32.77,-96.79
ORD-001182,2025-07-03,FC-LAX-02,Los Angeles,CA,West,Home & Kitchen,199.54,3,598.62,4.78,14.34,Two-Day,2025-07-05,2025-07-06,Amazon Logistics,Delivered,1.0,21.6,4.0,379,40,In Stock,Supplier-B,4.8,21,,2917.9,0.88,34.05,-118.24
ORD-001183,2025-08-18,FC-MIA-05,Miami,FL,Southeast,Office Products,22.68,3,68.04,5.81,17.43,One-Day,2025-08-19,,Amazon Logistics,Out for Delivery,,45.78,,356,82,In Stock,Supplier-A,4.6,19,,1602.7,0.96,25.76,-80.19
ORD-001184,2026-02-27,FC-CHI-03,Chicago,IL,Midwest,Books,46.9,4,187.6,0.48,1.92,Two-Day,2026-03-01,,Amazon Logistics,In Transit,,8.15,,148,28,In Stock,Supplier-D,3.8,15,,2107.7,0.99,41.87,-87.62
ORD-001185,2026-04-13,FC-DFW-04,Dallas,TX,South,Toys,147.19,5,735.95,2.81,14.05,Two-Day,2026-04-15,2026-04-18,UPS,Delayed,3.0,43.86,,495,54,In Stock,Supplier-D,2.6,13,,1570.2,0.87,32.77,-96.79
ORD-001186,2025-12-01,FC-MIA-05,Miami,FL,Southeast,Grocery,85.02,4,340.08,6.56,26.24,One-Day,2025-12-02,,DHL,Cancelled,,73.62,,227,39,In Stock,Supplier-B,3.5,6,,199.6,0.82,25.76,-80.19
ORD-001187,2025-08-05,FC-CHI-03,Chicago,IL,Midwest,Sports & Outdoors,134.68,1,134.68,6.96,6.96,Two-Day,2025-08-07,2025-08-09,Amazon Logistics,Delivered,2.0,19.58,2.0,208,55,In Stock,Supplier-C,3.7,19,,2843.7,0.73,41.87,-87.62
ORD-001188,2026-01-26,FC-SEA-06,Seattle,WA,West,Office Products,89.86,3,269.58,6.76,20.28,Same-Day,2026-01-26,2026-01-26,Amazon Logistics,Delivered,0.0,22.25,5.0,228,63,In Stock,Supplier-E,4.5,16,,2434.7,0.94,47.6,-122.33
ORD-001189,2025-08-05,FC-MIA-05,Miami,FL,Southeast,Electronics,949.95,3,2849.85,1.6,4.8,Same-Day,2025-08-05,2025-08-05,Amazon Logistics,Delivered,0.0,8.82,5.0,154,53,In Stock,Supplier-A,4.4,21,,1854.3,0.97,25.76,-80.19
ORD-001190,2026-03-11,FC-NYC-01,New York,NY,Northeast,Clothing,121.37,2,242.74,0.95,1.9,One-Day,2026-03-12,,Amazon Logistics,Out for Delivery,,7.57,,420,80,In Stock,Supplier-A,4.3,17,,108.6,0.7,40.71,-74.0
ORD-001191,2026-02-03,FC-DFW-04,Dallas,TX,South,Electronics,1031.21,5,5156.05,4.13,20.65,One-Day,2026-02-04,2026-02-04,USPS,Delivered,0.0,29.63,4.0,170,26,In Stock,Supplier-E,4.0,20,,708.8,0.99,32.77,-96.79
ORD-001192,2025-06-22,FC-MIA-05,Miami,FL,Southeast,Home & Kitchen,178.08,2,356.16,13.79,27.58,One-Day,2025-06-23,2025-06-22,UPS,Delivered,-1.0,63.15,4.0,444,93,In Stock,Supplier-D,2.8,11,,1043.1,0.66,25.76,-80.19
ORD-001193,2025-08-27,FC-MIA-05,Miami,FL,Southeast,Home & Kitchen,237.06,2,474.12,5.12,10.24,One-Day,2025-08-28,2025-08-30,UPS,Delivered,2.0,22.02,2.0,394,68,In Stock,Supplier-D,3.2,19,,2922.4,0.61,25.76,-80.19
ORD-001194,2026-01-10,FC-SEA-06,Seattle,WA,West,Office Products,184.31,2,368.62,3.77,7.54,Two-Day,2026-01-12,,USPS,In Transit,,19.4,,280,25,In Stock,Supplier-B,4.1,16,,53.2,0.89,47.6,-122.33
ORD-001195,2026-05-16,FC-MIA-05,Miami,FL,Southeast,Toys,139.24,2,278.48,5.67,11.34,Two-Day,2026-05-18,2026-05-18,DHL,Delivered,0.0,35.94,5.0,266,55,In Stock,Supplier-E,4.6,3,,1432.5,0.94,25.76,-80.19
ORD-001196,2025-09-02,FC-CHI-03,Chicago,IL,Midwest,Electronics,212.73,2,425.46,1.94,3.88,Same-Day,2025-09-02,,Amazon Logistics,In Transit,,9.95,,272,75,In Stock,Supplier-D,3.4,14,,2869.2,0.65,41.87,-87.62
ORD-001197,2025-07-23,FC-MIA-05,Miami,FL,Southeast,Home & Kitchen,65.61,5,328.05,6.74,33.7,Standard (3-5 days),2025-07-28,,OnTrac,In Transit,,84.46,,103,20,In Stock,Supplier-E,3.8,7,,2525.3,0.73,25.76,-80.19
ORD-001198,2026-02-10,FC-ATL-07,Atlanta,GA,Southeast,Automotive,110.3,3,330.9,8.91,26.73,Same-Day,2026-02-10,2026-02-11,Amazon Logistics,Delivered,1.0,37.34,3.0,15,66,Low Stock,Supplier-E,3.4,11,,539.0,0.77,33.75,-84.38
ORD-001199,2025-10-28,FC-DEN-08,Denver,CO,West,Toys,9.96,5,49.8,1.32,6.6,Two-Day,2025-10-30,2025-10-30,FedEx,Delivered,0.0,16.78,4.0,328,31,In Stock,Supplier-C,2.7,19,,2773.8,0.92,39.73,-104.99
ORD-001200,2025-12-05,FC-LAX-02,Los Angeles,CA,West,Office Products,194.7,5,973.5,6.49,32.45,Two-Day,2025-12-07,,USPS,Pending,,88.05,,288,59,In Stock,Supplier-D,4.1,21,,2516.1,0.97,34.05,-118.24
ORD-001201,2026-04-30,FC-CHI-03,Chicago,IL,Midwest,Books,10.38,2,20.76,0.98,1.96,Standard (3-5 days),2026-05-03,2026-05-03,FedEx,Delivered,0.0,8.16,5.0,77,41,In Stock,Supplier-B,3.7,21,,217.0,0.88,41.87,-87.62
ORD-001202,2026-06-04,FC-ATL-07,Atlanta,GA,Southeast,Health & Personal Care,100.25,3,300.75,4.16,12.48,Standard (3-5 days),2026-06-09,2026-06-09,Amazon Logistics,Returned,0.0,26.35,,228,94,In Stock,Supplier-C,4.3,5,Changed Mind,1363.3,0.8,33.75,-84.38
ORD-001203,2026-01-04,FC-SEA-06,Seattle,WA,West,Books,50.43,5,252.15,1.76,8.8,Two-Day,2026-01-06,,FedEx,Out for Delivery,,19.26,,33,65,Low Stock,Supplier-E,2.7,18,,1827.5,0.82,47.6,-122.33
ORD-001204,2026-05-13,FC-MIA-05,Miami,FL,Southeast,Health & Personal Care,73.19,5,365.95,3.71,18.55,Economy (5-8 days),2026-05-21,,Amazon Logistics,Pending,,28.26,,134,90,In Stock,Supplier-E,3.6,9,,1599.1,0.94,25.76,-80.19
ORD-001205,2025-07-26,FC-NYC-01,New York,NY,Northeast,Office Products,141.66,4,566.64,9.88,39.52,Same-Day,2025-07-26,,Amazon Logistics,In Transit,,54.98,,479,100,In Stock,Supplier-E,2.6,13,,2227.8,0.82,40.71,-74.0
ORD-001206,2025-11-30,FC-LAX-02,Los Angeles,CA,West,Clothing,27.96,5,139.8,1.41,7.05,Standard (3-5 days),2025-12-05,,FedEx,Pending,,10.68,,392,37,In Stock,Supplier-A,4.1,18,,70.8,0.76,34.05,-118.24
ORD-001207,2026-05-26,FC-NYC-01,New York,NY,Northeast,Home & Kitchen,20.74,1,20.74,7.54,7.54,Standard (3-5 days),2026-05-29,2026-05-29,UPS,Delivered,0.0,15.7,4.0,118,48,In Stock,Supplier-C,4.8,19,,2005.1,0.94,40.71,-74.0
ORD-001208,2026-03-15,FC-MIA-05,Miami,FL,Southeast,Grocery,96.51,4,386.04,5.1,20.4,Standard (3-5 days),2026-03-18,2026-03-18,Amazon Logistics,Delivered,0.0,47.64,3.0,400,48,In Stock,Supplier-B,3.3,17,,89.1,0.79,25.76,-80.19
ORD-001209,2025-12-26,FC-DFW-04,Dallas,TX,South,Home & Kitchen,25.21,2,50.42,6.07,12.14,Standard (3-5 days),2025-12-31,2025-12-31,Amazon Logistics,Delivered,0.0,31.03,4.0,225,24,In Stock,Supplier-C,2.8,5,,1598.2,0.85,32.77,-96.79
ORD-001210,2025-11-24,FC-DFW-04,Dallas,TX,South,Automotive,122.52,3,367.56,0.41,1.23,Two-Day,2025-11-26,2025-11-26,Amazon Logistics,Delivered,0.0,4.21,3.0,159,28,In Stock,Supplier-C,4.7,4,,1971.6,0.88,32.77,-96.79
ORD-001211,2026-05-01,FC-CHI-03,Chicago,IL,Midwest,Books,6.75,3,20.25,0.57,1.71,Economy (5-8 days),2026-05-09,2026-05-09,UPS,Delivered,0.0,6.76,4.0,397,88,In Stock,Supplier-E,2.7,4,,1769.2,0.78,41.87,-87.62
ORD-001212,2026-02-19,FC-DEN-08,Denver,CO,West,Grocery,47.48,4,189.92,7.59,30.36,Two-Day,2026-02-21,2026-02-22,UPS,Delivered,1.0,48.18,4.0,149,53,In Stock,Supplier-D,4.9,21,,2440.1,0.61,39.73,-104.99
ORD-001213,2026-03-19,FC-DFW-04,Dallas,TX,South,Sports & Outdoors,271.02,4,1084.08,2.96,11.84,Economy (5-8 days),2026-03-24,2026-03-25,UPS,Returned,1.0,25.45,,388,83,In Stock,Supplier-E,4.2,6,Not as Described,2837.5,0.75,32.77,-96.79
ORD-001214,2025-07-03,FC-CHI-03,Chicago,IL,Midwest,Grocery,95.72,2,191.44,1.25,2.5,Standard (3-5 days),2025-07-06,2025-07-11,UPS,Delayed,5.0,5.96,,19,37,Low Stock,Supplier-E,4.6,13,,1699.7,0.97,41.87,-87.62
ORD-001215,2026-04-27,FC-MIA-05,Miami,FL,Southeast,Clothing,134.15,2,268.3,0.7,1.4,One-Day,2026-04-28,2026-05-01,Amazon Logistics,Delayed,3.0,5.41,,320,52,In Stock,Supplier-E,3.1,16,,2401.4,0.61,25.76,-80.19
ORD-001216,2025-07-20,FC-DEN-08,Denver,CO,West,Books,67.0,3,201.0,1.59,4.77,One-Day,2025-07-21,2025-07-22,FedEx,Delivered,1.0,10.44,3.0,182,89,In Stock,Supplier-C,4.1,18,,839.8,0.97,39.73,-104.99
ORD-001217,2025-10-13,FC-LAX-02,Los Angeles,CA,West,Sports & Outdoors,93.64,1,93.64,9.84,9.84,Two-Day,2025-10-15,2025-10-15,USPS,Returned,0.0,25.28,,207,92,In Stock,Supplier-E,2.7,12,Late Delivery,341.7,0.92,34.05,-118.24
ORD-001218,2026-05-04,FC-MIA-05,Miami,FL,Southeast,Toys,80.95,4,323.8,7.69,30.76,One-Day,2026-05-05,2026-05-05,FedEx,Delivered,0.0,60.25,5.0,65,95,Low Stock,Supplier-B,3.8,12,,2010.1,1.0,25.76,-80.19
ORD-001219,2026-05-31,FC-DFW-04,Dallas,TX,South,Electronics,418.36,2,836.72,1.99,3.98,Two-Day,2026-06-02,,DHL,Out for Delivery,,10.99,,330,94,In Stock,Supplier-D,4.3,8,,393.9,0.96,32.77,-96.79
ORD-001220,2025-11-09,FC-ATL-07,Atlanta,GA,Southeast,Sports & Outdoors,54.7,4,218.8,5.46,21.84,Two-Day,2025-11-11,2025-11-14,OnTrac,Delivered,3.0,23.53,1.0,382,70,In Stock,Supplier-B,3.2,4,,446.6,0.94,33.75,-84.38
ORD-001221,2025-10-09,FC-CHI-03,Chicago,IL,Midwest,Clothing,84.92,2,169.84,1.15,2.3,Two-Day,2025-10-11,2025-10-16,Amazon Logistics,Delayed,5.0,9.27,,283,48,In Stock,Supplier-D,3.7,3,,326.7,0.95,41.87,-87.62
ORD-001222,2025-07-31,FC-LAX-02,Los Angeles,CA,West,Health & Personal Care,251.76,2,503.52,7.64,15.28,Two-Day,2025-08-02,2025-08-02,Amazon Logistics,Delivered,0.0,23.75,4.0,179,28,In Stock,Supplier-D,3.3,15,,2728.5,0.77,34.05,-118.24
ORD-001223,2026-01-23,FC-MIA-05,Miami,FL,Southeast,Clothing,50.93,4,203.72,0.94,3.76,Standard (3-5 days),2026-01-26,,Amazon Logistics,Out for Delivery,,9.02,,34,92,Low Stock,Supplier-E,4.5,14,,2218.4,0.86,25.76,-80.19
ORD-001224,2025-08-04,FC-SEA-06,Seattle,WA,West,Health & Personal Care,66.44,5,332.2,2.67,13.35,Standard (3-5 days),2025-08-09,2025-08-11,UPS,Delivered,2.0,22.47,3.0,311,25,In Stock,Supplier-A,3.0,20,,1004.0,0.99,47.6,-122.33
ORD-001225,2026-05-05,FC-SEA-06,Seattle,WA,West,Health & Personal Care,109.31,1,109.31,0.67,0.67,Standard (3-5 days),2026-05-08,2026-05-08,FedEx,Returned,0.0,3.89,,246,38,In Stock,Supplier-B,3.8,20,Wrong Item,52.3,0.79,47.6,-122.33
ORD-001226,2026-06-10,FC-DFW-04,Dallas,TX,South,Books,77.48,1,77.48,0.82,0.82,Two-Day,2026-06-12,,Amazon Logistics,Out for Delivery,,3.43,,351,81,In Stock,Supplier-C,4.0,9,,489.0,0.64,32.77,-96.79
ORD-001227,2025-08-05,FC-MIA-05,Miami,FL,Southeast,Grocery,36.69,4,146.76,5.62,22.48,Two-Day,2025-08-07,2025-08-08,Amazon Logistics,Delivered,1.0,37.36,4.0,146,51,In Stock,Supplier-D,3.7,16,,1303.5,0.81,25.76,-80.19
ORD-001228,2026-01-28,FC-NYC-01,New York,NY,Northeast,Automotive,50.37,3,151.11,5.85,17.55,Two-Day,2026-01-30,2026-02-02,FedEx,Delivered,3.0,22.42,3.0,43,61,Low Stock,Supplier-A,4.8,11,,725.1,0.79,40.71,-74.0
ORD-001229,2025-09-08,FC-ATL-07,Atlanta,GA,Southeast,Clothing,96.93,1,96.93,0.94,0.94,Economy (5-8 days),2025-09-16,2025-09-16,FedEx,Delivered,0.0,3.49,4.0,323,87,In Stock,Supplier-C,3.6,7,,1025.5,0.78,33.75,-84.38
ORD-001230,2026-06-05,FC-NYC-01,New York,NY,Northeast,Sports & Outdoors,126.52,5,632.6,4.94,24.7,Two-Day,2026-06-07,,USPS,Pending,,59.29,,125,29,In Stock,Supplier-C,4.9,8,,2134.8,0.68,40.71,-74.0
